Round,Accuracy,Epsilon
1,0.007393617021276596,1.0
2,0.02404255319148936,2.0
3,0.020372340425531914,3.0
4,0.024414893617021278,4.0
5,0.015,5.0
6,0.022021276595744682,6.0
7,0.020957446808510638,7.0
8,0.022340425531914895,8.0
9,0.01925531914893617,9.0
10,0.019840425531914892,10.0
11,0.02170212765957447,11.0
12,0.02574468085106383,12.0
13,0.019680851063829788,13.0
14,0.022234042553191488,14.0
15,0.02297872340425532,15.0
16,0.021382978723404257,16.0
17,0.01978723404255319,17.0
18,0.02170212765957447,18.0
19,0.017340425531914894,19.0
20,0.015531914893617021,20.0
21,0.014202127659574468,21.0
22,0.018404255319148938,22.0
23,0.022021276595744682,23.0
24,0.018563829787234042,24.0
25,0.027074468085106385,25.0
26,0.026861702127659575,26.0
27,0.027606382978723403,27.0
28,0.023297872340425532,28.0
29,0.027925531914893616,29.0
30,0.026436170212765956,30.0
