Round,Accuracy,Epsilon
1,0.003351063829787234,1.0
2,0.020957446808510638,2.0
3,0.021170212765957448,3.0
4,0.02127659574468085,4.0
5,0.02127659574468085,5.0
6,0.02127659574468085,6.0
7,0.02127659574468085,7.0
8,0.02127659574468085,8.0
9,0.02127659574468085,9.0
10,0.02127659574468085,10.0
11,0.02127659574468085,11.0
12,0.02127659574468085,12.0
13,0.02127659574468085,13.0
14,0.02127659574468085,14.0
15,0.02127659574468085,15.0
16,0.02127659574468085,16.0
17,0.02127659574468085,17.0
18,0.02127659574468085,18.0
19,0.02127659574468085,19.0
20,0.02127659574468085,20.0
21,0.02127659574468085,21.0
22,0.02127659574468085,22.0
23,0.02127659574468085,23.0
24,0.02127659574468085,24.0
25,0.02127659574468085,25.0
26,0.02127659574468085,26.0
27,0.02127659574468085,27.0
28,0.02127659574468085,28.0
29,0.02127659574468085,29.0
30,0.02127659574468085,30.0
