Round,Accuracy,Epsilon
1,0.028244680851063828,1.0
2,0.024946808510638296,2.0
3,0.029095744680851063,3.0
4,0.020797872340425533,4.0
5,0.022127659574468085,5.0
6,0.022925531914893618,6.0
7,0.0225531914893617,7.0
8,0.024095744680851065,8.0
9,0.025053191489361703,9.0
10,0.02595744680851064,10.0
11,0.027074468085106385,11.0
12,0.028670212765957447,12.0
13,0.029680851063829786,13.0
14,0.030159574468085107,14.0
15,0.030372340425531916,15.0
16,0.030372340425531916,16.0
17,0.031117021276595744,17.0
18,0.031329787234042554,18.0
19,0.03074468085106383,19.0
20,0.031063829787234043,20.0
21,0.03154255319148936,21.0
22,0.03138297872340425,22.0
23,0.032180851063829785,23.0
24,0.0323936170212766,24.0
25,0.03281914893617021,25.0
26,0.03164893617021276,26.0
27,0.031914893617021274,27.0
28,0.030372340425531916,28.0
29,0.029148936170212764,29.0
30,0.029095744680851063,30.0
