Round,Accuracy,Epsilon
1,0.016223404255319148,1.0
2,0.020319148936170213,2.0
3,0.02420212765957447,3.0
4,0.022446808510638298,4.0
5,0.027127659574468086,5.0
6,0.033138297872340426,6.0
7,0.03856382978723404,7.0
8,0.028670212765957447,8.0
9,0.03558510638297872,9.0
10,0.03914893617021276,10.0
11,0.04239361702127659,11.0
12,0.039680851063829785,12.0
13,0.04734042553191489,13.0
14,0.04356382978723404,14.0
15,0.03398936170212766,15.0
16,0.038670212765957446,16.0
17,0.028297872340425533,17.0
18,0.026914893617021277,18.0
19,0.029095744680851063,19.0
20,0.029095744680851063,20.0
21,0.02904255319148936,21.0
22,0.027340425531914892,22.0
23,0.02601063829787234,23.0
24,0.02297872340425532,24.0
25,0.024148936170212767,25.0
26,0.022872340425531913,26.0
27,0.023457446808510637,27.0
28,0.023882978723404256,28.0
29,0.02276595744680851,29.0
30,0.02276595744680851,30.0
