Round,Accuracy,Epsilon
1,0.02425531914893617,1.0
2,0.015851063829787234,2.0
3,0.006542553191489362,3.0
4,0.010425531914893617,4.0
5,0.01297872340425532,5.0
6,0.004946808510638298,6.0
7,0.01803191489361702,7.0
8,0.023138297872340424,8.0
9,0.022180851063829787,9.0
10,0.02170212765957447,10.0
11,0.021382978723404257,11.0
12,0.017872340425531916,12.0
13,0.011117021276595744,13.0
14,0.006223404255319149,14.0
15,0.016648936170212767,15.0
16,0.01675531914893617,16.0
17,0.017925531914893617,17.0
18,0.02547872340425532,18.0
19,0.020319148936170213,19.0
20,0.018776595744680852,20.0
21,0.013085106382978724,21.0
22,0.01702127659574468,22.0
23,0.01978723404255319,23.0
24,0.01829787234042553,24.0
25,0.016648936170212767,25.0
26,0.01675531914893617,26.0
27,0.01372340425531915,27.0
28,0.012553191489361702,28.0
29,0.01324468085106383,29.0
30,0.014787234042553192,30.0
