Round,Accuracy,Epsilon
1,0.26313829787234044,1
2,0.40388297872340423,2
3,0.4727127659574468,3
4,0.5215425531914893,4
5,0.5477659574468086,5
6,0.5647872340425532,6
7,0.5781382978723404,7
8,0.5888297872340426,8
9,0.597872340425532,9
10,0.6026063829787234,10
11,0.6115425531914893,11
12,0.6142553191489362,12
13,0.6216489361702128,13
14,0.6266489361702128,14
15,0.6303723404255319,15
16,0.6365957446808511,16
17,0.6362765957446809,17
18,0.6391489361702127,18
19,0.6463297872340426,19
20,0.6486702127659575,20
21,0.6493085106382979,21
22,0.6542021276595744,22
23,0.6562765957446809,23
24,0.6604787234042553,24
25,0.6622340425531915,25
26,0.6633510638297873,26
27,0.6681914893617021,27
28,0.6701063829787234,28
29,0.673936170212766,29
30,0.6762765957446808,30
