Round,Accuracy,Epsilon
1,0.01680851063829787,1.0
2,0.019042553191489363,2.0
3,0.023670212765957446,3.0
4,0.025585106382978725,4.0
5,0.02452127659574468,5.0
6,0.0225531914893617,6.0
7,0.03367021276595745,7.0
8,0.043617021276595745,8.0
9,0.04297872340425532,9.0
10,0.04904255319148936,10.0
11,0.044627659574468084,11.0
12,0.03707446808510638,12.0
13,0.04271276595744681,13.0
14,0.05271276595744681,14.0
15,0.03920212765957447,15.0
16,0.046914893617021274,16.0
17,0.03563829787234043,17.0
18,0.037393617021276596,18.0
19,0.03031914893617021,19.0
20,0.0350531914893617,20.0
21,0.03776595744680851,21.0
22,0.04345744680851064,22.0
23,0.03574468085106383,23.0
24,0.03957446808510638,24.0
25,0.03420212765957447,25.0
26,0.03398936170212766,26.0
27,0.03728723404255319,27.0
28,0.032021276595744684,28.0
29,0.03425531914893617,29.0
30,0.034414893617021276,30.0
