Round,Accuracy,Epsilon
1,0.02021276595744681,0.8
2,0.03297872340425532,1.6
3,0.036117021276595745,2.4000000000000004
4,0.04186170212765957,3.2
5,0.044893617021276595,4.0
6,0.03718085106382979,4.800000000000001
7,0.05090425531914894,5.6000000000000005
8,0.043882978723404256,6.4
9,0.047021276595744683,7.2
10,0.06063829787234042,8.0
11,0.05271276595744681,8.8
12,0.054946808510638295,9.600000000000001
13,0.05526595744680851,10.4
14,0.04962765957446808,11.200000000000001
15,0.04930851063829787,12.0
16,0.04898936170212766,12.8
17,0.04484042553191489,13.600000000000001
18,0.04792553191489362,14.4
19,0.04473404255319149,15.200000000000001
20,0.041648936170212765,16.0
21,0.04015957446808511,16.8
22,0.04473404255319149,17.6
23,0.04436170212765957,18.400000000000002
24,0.040797872340425534,19.200000000000003
25,0.03627659574468085,20.0
26,0.03904255319148936,20.8
27,0.036702127659574466,21.6
28,0.03425531914893617,22.400000000000002
29,0.036702127659574466,23.200000000000003
30,0.032021276595744684,24.0
