Round,Accuracy,Epsilon
1,0.508125,1.0
2,0.5002875,2.0
3,0.504640625,3.0
4,0.51793125,4.0
5,0.507846875,5.0
6,0.493021875,6.0
7,0.50153125,7.0
8,0.51449375,8.0
9,0.51828125,9.0
10,0.512303125,10.0
11,0.50723125,11.0
12,0.50551875,12.0
13,0.501725,13.0
14,0.49669375,14.0
15,0.5007,15.0
16,0.497309375,16.0
17,0.497253125,17.0
18,0.497653125,18.0
19,0.496159375,19.0
20,0.500953125,20.0
21,0.50794375,21.0
22,0.512925,22.0
23,0.509759375,23.0
24,0.500975,24.0
25,0.51246875,25.0
26,0.516178125,26.0
27,0.51425,27.0
28,0.5123375,28.0
29,0.505178125,29.0
30,0.498771875,30.0
