Round,Accuracy,Epsilon
1,0.57116875,1.1
2,0.546209375,2.2
3,0.534134375,3.3000000000000003
4,0.528309375,4.4
5,0.53139375,5.5
6,0.552915625,6.6000000000000005
7,0.54523125,7.700000000000001
8,0.51884375,8.8
9,0.530796875,9.9
10,0.5279625,11.0
11,0.53444375,12.100000000000001
12,0.53719375,13.200000000000001
13,0.5256375,14.3
14,0.52223125,15.400000000000002
15,0.527990625,16.5
16,0.525984375,17.6
17,0.509553125,18.700000000000003
18,0.51893125,19.8
19,0.532790625,20.900000000000002
20,0.54235625,22.0
21,0.52939375,23.1
22,0.514471875,24.200000000000003
23,0.511178125,25.3
24,0.532734375,26.400000000000002
25,0.528640625,27.500000000000004
26,0.528984375,28.6
27,0.5345,29.700000000000003
28,0.5245875,30.800000000000004
29,0.537771875,31.900000000000002
30,0.536203125,33.0
