round,accuracy,epsilon
1,0.5462184873949579,1.1
2,0.6477272727272727,2.2
3,0.548,3.3000000000000003
4,0.6195652173913043,4.4
5,0.621301775147929,5.5
6,0.41830065359477125,6.6000000000000005
7,0.24380165289256198,7.700000000000001
8,0.41968911917098445,8.8
9,0.5035971223021583,9.9
10,0.44047619047619047,11.0
11,0.5232558139534884,12.100000000000001
12,0.30601092896174864,13.200000000000001
13,0.4748603351955307,14.3
14,0.4601226993865031,15.400000000000002
15,0.5209302325581395,16.5
16,0.5076335877862596,17.6
17,0.45374449339207046,18.700000000000003
18,0.5435897435897435,19.8
19,0.49411764705882355,20.900000000000002
20,0.5266666666666666,22.0
21,0.47752808988764045,23.1
22,0.4861878453038674,24.200000000000003
23,0.6557377049180327,25.3
24,0.5421686746987951,26.400000000000002
25,0.536723163841808,27.500000000000004
26,0.4790697674418605,28.6
27,0.5022421524663677,29.700000000000003
28,0.5120967741935484,30.800000000000004
29,0.48,31.900000000000002
30,0.5070422535211268,33.0
31,0.5032258064516129,34.1
32,0.4725274725274725,35.2
33,0.5759493670886076,36.300000000000004
34,0.508833922261484,37.400000000000006
35,0.6077348066298343,38.5
36,0.4745762711864407,39.6
37,0.4966442953020134,40.7
38,0.5320197044334976,41.800000000000004
39,0.5168539325842697,42.900000000000006
40,0.5079365079365079,44.0
41,0.48520710059171596,45.1
42,0.4898785425101215,46.2
43,0.56,47.300000000000004
44,0.4675324675324675,48.400000000000006
45,0.47101449275362317,49.50000000000001
46,0.589041095890411,50.6
47,0.4927536231884058,51.7
48,0.5823529411764706,52.800000000000004
49,0.6686746987951807,53.900000000000006
50,0.5616438356164384,55.00000000000001
51,0.6392405063291139,56.1
52,0.7220338983050848,57.2
53,0.5042372881355932,58.300000000000004
54,0.4890829694323144,59.400000000000006
55,0.4393939393939394,60.50000000000001
56,0.7362637362637363,61.60000000000001
57,0.5424836601307189,62.7
58,0.6292134831460674,63.800000000000004
59,0.6647398843930635,64.9
60,0.46745562130177515,66.0
61,0.5306122448979592,67.10000000000001
62,0.6836158192090396,68.2
63,0.5875706214689266,69.30000000000001
64,0.6141304347826086,70.4
65,0.5036496350364964,71.5
66,0.43352601156069365,72.60000000000001
67,0.5655172413793104,73.7
68,0.6,74.80000000000001
69,0.40625,75.9
70,0.44021739130434784,77.0
71,0.47701149425287354,78.10000000000001
72,0.540785498489426,79.2
73,0.45569620253164556,80.30000000000001
74,0.412751677852349,81.4
75,0.5223214285714286,82.5
76,0.48404255319148937,83.60000000000001
77,0.50390625,84.7
78,0.5648854961832062,85.80000000000001
79,0.4176470588235294,86.9
80,0.40718562874251496,88.0
81,0.3333333333333333,89.10000000000001
82,0.6114649681528662,90.2
83,0.44933920704845814,91.30000000000001
84,0.34574468085106386,92.4
85,0.43555555555555553,93.50000000000001
86,0.49044585987261147,94.60000000000001
87,0.5136612021857924,95.7
88,0.3901345291479821,96.80000000000001
89,0.6759776536312849,97.9
90,0.5436507936507936,99.00000000000001
91,0.4207650273224044,100.10000000000001
92,0.49444444444444446,101.2
93,0.47804878048780486,102.30000000000001
94,0.4423076923076923,103.4
95,0.4248927038626609,104.50000000000001
96,0.5909090909090909,105.60000000000001
97,0.483695652173913,106.7
98,0.6074270557029178,107.80000000000001
99,0.5298507462686567,108.9
100,0.5301724137931034,110.00000000000001
