Round,Accuracy,Epsilon
1,0.499653125,1.0
2,0.51236875,2.0
3,0.5003875,3.0
4,0.505765625,4.0
5,0.5041625,5.0
6,0.49989375,6.0
7,0.5130375,7.0
8,0.502975,8.0
9,0.53828125,9.0
10,0.50938125,10.0
11,0.504996875,11.0
12,0.54129375,12.0
13,0.57130625,13.0
14,0.550075,14.0
15,0.566384375,15.0
16,0.56749375,16.0
17,0.5855,17.0
18,0.576671875,18.0
19,0.560221875,19.0
20,0.5299875,20.0
21,0.53704375,21.0
22,0.519721875,22.0
23,0.52688125,23.0
24,0.5534125,24.0
25,0.58411875,25.0
26,0.59345,26.0
27,0.589778125,27.0
28,0.607325,28.0
29,0.568553125,29.0
30,0.55854375,30.0
