Round,Accuracy,Epsilon
1,0.725675,0.2
2,0.726540625,0.4
3,0.726978125,0.6000000000000001
4,0.728696875,0.8
5,0.729759375,1.0
6,0.730990625,1.2000000000000002
7,0.732790625,1.4000000000000001
8,0.733946875,1.6
9,0.7348,1.8
10,0.735175,2.0
11,0.7361625,2.2
12,0.736853125,2.4000000000000004
13,0.73750625,2.6
14,0.73813125,2.8000000000000003
15,0.73810625,3.0
16,0.738421875,3.2
17,0.73885,3.4000000000000004
18,0.7389375,3.6
19,0.7390375,3.8000000000000003
20,0.73985625,4.0
21,0.739334375,4.2
22,0.73994375,4.4
23,0.740190625,4.6000000000000005
24,0.739784375,4.800000000000001
25,0.74034375,5.0
26,0.7407375,5.2
27,0.740953125,5.4
28,0.74119375,5.6000000000000005
29,0.740978125,5.800000000000001
30,0.741165625,6.0
