Round,Accuracy,Epsilon
1,0.50176875,1.0
2,0.497978125,2.0
3,0.50158125,3.0
4,0.49841875,4.0
5,0.49845625,5.0
6,0.49841875,6.0
7,0.483715625,7.0
8,0.50158125,8.0
9,0.50158125,9.0
10,0.501546875,10.0
11,0.495434375,11.0
12,0.50158125,12.0
13,0.501128125,13.0
14,0.49841875,14.0
15,0.50914375,15.0
16,0.498425,16.0
17,0.48759375,17.0
18,0.49841875,18.0
19,0.49841875,19.0
20,0.500171875,20.0
21,0.50158125,21.0
22,0.49841875,22.0
23,0.466025,23.0
24,0.50158125,24.0
25,0.50158125,25.0
26,0.50158125,26.0
27,0.50158125,27.0
28,0.501571875,28.0
29,0.490275,29.0
30,0.50158125,30.0
