Round,Accuracy,Epsilon
1,0.500134375,0.4
2,0.5001375,0.8
3,0.4998625,1.2000000000000002
4,0.50014375,1.6
5,0.50015625,2.0
6,0.499865625,2.4000000000000004
7,0.500121875,2.8000000000000003
8,0.4999125,3.2
9,0.5000875,3.6
10,0.500134375,4.0
11,0.500125,4.4
12,0.499859375,4.800000000000001
13,0.5002125,5.2
14,0.49983125,5.6000000000000005
15,0.499903125,6.0
16,0.500121875,6.4
17,0.50015625,6.800000000000001
18,0.500134375,7.2
19,0.499875,7.6000000000000005
20,0.500159375,8.0
21,0.50014375,8.4
22,0.500146875,8.8
23,0.5001375,9.200000000000001
24,0.49995625,9.600000000000001
25,0.50021875,10.0
26,0.500215625,10.4
27,0.5001625,10.8
28,0.49985,11.200000000000001
29,0.50021875,11.600000000000001
30,0.499875,12.0
