Round,Accuracy,Epsilon
1,0.5545,1.6500000000000001
2,0.537240625,3.3000000000000003
3,0.540084375,4.95
4,0.538371875,6.6000000000000005
5,0.52788125,8.25
6,0.5185125,9.9
7,0.531690625,11.55
8,0.536025,13.200000000000001
9,0.539215625,14.850000000000001
10,0.517359375,16.5
11,0.51405625,18.150000000000002
12,0.52460625,19.8
13,0.51700625,21.450000000000003
14,0.5185,23.1
15,0.524690625,24.75
16,0.51030625,26.400000000000002
17,0.525425,28.050000000000004
18,0.51315625,29.700000000000003
19,0.528234375,31.35
20,0.51793125,33.0
21,0.52315625,34.650000000000006
22,0.51635625,36.300000000000004
23,0.515009375,37.95
24,0.5214625,39.6
25,0.5073625,41.25000000000001
26,0.530153125,42.900000000000006
27,0.5128,44.550000000000004
28,0.507565625,46.2
29,0.508071875,47.85
30,0.520528125,49.5
