Round,Accuracy,Epsilon
1,0.499840625,1.0
2,0.50100625,2.0
3,0.513090625,3.0
4,0.577715625,4.0
5,0.58116875,5.0
6,0.58928125,6.0
7,0.55825625,7.0
8,0.516053125,8.0
9,0.524671875,9.0
10,0.52995,10.0
11,0.571015625,11.0
12,0.549978125,12.0
13,0.563890625,13.0
14,0.549278125,14.0
15,0.573915625,15.0
16,0.5673125,16.0
17,0.547134375,17.0
18,0.545365625,18.0
19,0.549834375,19.0
20,0.55755625,20.0
21,0.56693125,21.0
22,0.60805,22.0
23,0.613421875,23.0
24,0.6196625,24.0
25,0.612596875,25.0
26,0.59460625,26.0
27,0.578540625,27.0
28,0.578434375,28.0
29,0.541984375,29.0
30,0.541309375,30.0
